NewHash(v1.58),BaseHash
EFD6451BF0F3352F,5CDE92C702A8FCE7
04D9F44466CBF3CA,6AC7003FA6E5575E
D809204F14EF9B68,6F6F290102C02AB4
A582EE8380437B1B,03D7FB09E75D6B7E
9044EDB8A7BF67B4,524AC5ECEA15343E
0086095F1731DE17,8D68C8FD0FACA94E
AB793EA186AB8DAA,BB40DD2270B65366
F8805443C3DB6256,F7B79A50B905A30D
3B8F94419979A0B1,E2A2AA2F659D77A7
E5972DA7F32861AF,182F266C2D9E2BEB
5B7AF57D366861F2,0F3E34E968EA374E
2E5F8A288A954523,16754C556D2EDE3D
82B0661A78CC39CF,9AEB285D1818C9AC
D681CC2BC1084DB6,D79DEEFB53455EBA
7A6B8C262362C722,4E209B2C1EAD5159
E02D8BDF4B18D48D,57E457CD2C0FC168
32DCDA1B2F8A0694,47E4E977581C5B55
90DCD1F6C0982DC1,7DCE8BDA0F1C1200
8DE48073046D4CF0,F731332072F5156C
D8F9DF94CD871327,CFB0A0D8EDD145A3
D28B9359D0F02ACA,95E8F73DC65EFB9C
3DA4842FA4407BE2,C70B5FAE151982D8
A89C6F3818CC3ACB,3E5F7FC85D854E15
44859561F653DD4E,05095437424397FA
A7E29842FA438ED6,3A87E44BB9A01D54
2358AE4C940CF1DF,68EDDA28A5976D07
98C2AE9A4C384CBF,7EE53118C892B513
A3329B7A7520670E,7497D2CE2C30D24C
BEE29398902B0435,480357EE890C295A
E73671E3D37CF79E,AC09CA973C564252
2378080C93821600,6373D1349925A70E
102D1A546FDB4B6D,EC4686EC06434678
73AC05050F54F1E0,3EDCB0505123623B
006574E87E6F1942,0DC7CABAB1E9B67E
D5C6B5E3B93A5EDC,997ABD671D25CA0B
B3FF0049C1FD38EC,9A9112A0FE9A4713
5DFF6B0D4F63C800,EFEA18DCF10F8F75
31EB55FAEEE9C0F5,4B53F92932ADFAC0
72E575062E5D1004,C33AB876A77F8164
FF4BEB6CFF55A013,C80A74AC829DDD92
BC12D08EE7559CCD,9F7794730795E019
249A0D3C5714BCF4,71A78003C8E71424
01896B71C5AC966E,02245FE4BED318B8
D642E010A287ADFD,F372BC22FCB88606
D69A0C3662175E68,963D27A58DF860AC
1C7A1A7E9E4766CF,49C32D60007AFA47
AEF70623D03F7B02,7B5280EBA9840C72
150D8F58B26E9F70,202709F4C58A0424
3B81B9627E7885CF,1CCD9A37359072CF
26C23BE14F66F202,C63CD5D2920ACBE7
AF5DBE95205A49D1,054354A99211EB96
5B66E9FB7530BB95,85443FF4C328F53B
2F04A4784A70593C,593570C289A77688
61481F9FBB1C7EDD,767FBC2AC802EF3D
076A5661EF5ABEE4,B3271D7AB655B441
B8F4926B803BFD19,5AA3BEFA29F03AD4
5D851A9195129CE9,C488FF2356EA7791
212EDDD868F364B5,DAC073C7901F9E15
014D8C5910A5B01B,812595A0644CE1DE
969475FA6AB2673A,A33CDCCDA663159E
63BEA94AB58D4E6D,0A794A5A57F8DF91
5F8653E60ED2288E,2A70BAE8883E4C81
12528DC2778CB217,1D08B970013C34B6
83F5BCFFFBA26699,919BE13EED931959
110B92AAD0FBEE95,CC9AA18DCC7084F4
03A927199A2DFE46,E1EF3C1216AFF2CD
BA715A7BEBA5A1F9,AF35D0D2583051B0
5C65DDDC219B3AA5,428CA6DBD1094446
959E1626CBC7D38A,1A9205C1B9EE827F
1C2ED929474DC6FE,EA1C610A04DB6BBB
371D594409A68A18,2497C4717C8B881E
487C17B41938052C,7DD959874C1FD534
50274A7EACA3133A,9F8AA94D6D97DBF4
059473086913178C,9D64D7405520E3D3
13A2865660B9B033,0027501B9F3B407E
EC32121F2E3875C8,C153C43EA202C8C1
987A5F1E1A67E3C0,F1B760881820C952
6D7EE245AD1E10B0,2107BA504071A6BB
A0F62C1038208492,B0F7F8663821D9C3
5DD86AC785D8E188,6F8838D03D1DC226
C4336736B30C9DF5,65499865FCA6E5EC
32DBCEB580393767,9BA001CB45CBF627
7E15597AA5F53F9A,6BAB9442830C7F53
37BBF9ACD752871A,238DB2A2C23EE9EF
A570D693C4A2B421,160AA1B32F6139B8
AA2844CAD88768B5,494E97C2EF27C470
80F97D7D29800A1A,13D2B8ADD79640F2
09FC827691DACE59,25223CA6B4D20B7F
D52BD97E61483713,3D10BC92A4DB1D35
771485043FDC55DE,BBC72712E80257A1
1137FD08B8D3F874,961777E64BDAF717
46951D3186547C7A,23F8F5FC7E8C4A6B
59BBF1CA2F5CAC75,C9D55B1A358A5BF7
B38EF75835FAF667,03E8D3D5F549087A
CACAD935C0BEE14F,1899F328B0E12848
A6A089369417736E,0A7B270912999B3C
930E64CB0285CAEC,DDE6DF5AE89981D2
EF9410C312F2B117,28D3FED7190D3A0B
208B14CA225DC5A0,1A5AA1208AF5DB59
F1A23B343DFEDFD0,E532F5D78798DAAB
CA2872F050840231,176CECF6F920D707
8FB472886552D737,D3BD40951412FEF6
6F940C2636C076AD,D031A9162D01088C
7461D7C5BA953BC7,3841422E9C488D8C
A888F8CC04F25CC8,E8854A4326B9E12B
30E00B59448AB97E,93B93A37987F1F3D
49D97B076E3590AC,EA47FE3719165B94
C963A45B50851768,39E72BC99E6360CB
8ACADA903FCAA42F,5ABA3986D90D8A3B
0829092F169950AB,00A9010CFE1E3533
FCF559C8631ABED7,1F0B79228E461EC9
D01FAFCE275C94F3,346D81500D088F42
0E536D72AB30F4C8,509D5878EB39E842
B897FCFCFA664B38,3F428D08BE5AAE31
9A97DC6DBC7B223D,6B9BBD38AB0796DF
4DE6A646AFB7CF5C,EE778F8C7E1142E2
4BDA5AFD88C085EB,539E0AE3E6634B9F
F30F15F203736DE4,69F4BE8C8CC4796C
174CED88B97C78D9,77F1BEB8863288D5
72F6AE51B7E34865,17FFC1B2BA35A494
