Hash(v1207),Name
0x480357EE890C295A,GET_CURRENT_SCRIPTED_CONVERSATION_LINE
0x8530AD776CD72B12,PAUSE_SCRIPTED_CONVERSATION
0x9AEB285D1818C9AC,RESTART_SCRIPTED_CONVERSATION
0xD79DEEFB53455EBA,STOP_SCRIPTED_CONVERSATION
0x9663FE6B7A61EB00,SKIP_TO_NEXT_SCRIPTED_CONVERSATION_LINE
0xC6ED9D5092438D91,REGISTER_SCRIPT_WITH_AUDIO
0xA8638BE228D4751A,UNREGISTER_SCRIPT_WITH_AUDIO
0x2F844A8B08D76685,REQUEST_SCRIPT_AUDIO_BANK
0x77ED170667F50170,RELEASE_NAMED_SCRIPT_AUDIO_BANK
0x7A2D8AD0A9EB9C3F,RELEASE_SCRIPT_AUDIO_BANK
0x430386FE9BF80B45,GET_SOUND_ID
0x353FC880830B88FA,RELEASE_SOUND_ID
0x7FF4944CC209192D,PLAY_SOUND
0x67C540AA08E4A6F5,PLAY_SOUND_FRONTEND
0x6FB1DA3CA9DA7D90,_PLAY_SOUND_FROM_ENTITY
0xCCE219C922737BFA,_PLAY_SOUND_FROM_POSITION
0x8E04FEDD28D42462,_PLAY_AMBIENT_SPEECH1
0xED640017ED337E45,_PLAY_AMBIENT_SPEECH_AT_COORDS
0xBC9AE166038A5CEC,PLAY_PAIN
0x6C8065A3B780185B,SET_AMBIENT_VOICE_NAME
0x79D2F0E66F81D90D,STOP_CURRENT_PLAYING_SPEECH
0xB8BEC0CA6F0EDB0F,STOP_CURRENT_PLAYING_AMBIENT_SPEECH
0x9072C8B49907BFAD,IS_AMBIENT_SPEECH_PLAYING
0xCC9AA18DCC7084F4,IS_SCRIPTED_SPEECH_PLAYING
0x729072355FA39EC9,IS_ANY_SPEECH_PLAYING
0x49B99BF3FDA89A7A,_CAN_PED_SPEAK
0x049E937F18F4020C,IS_PED_IN_CURRENT_CONVERSATION
0x95D2D383D5396B8A,SET_PED_IS_DRUNK
0xEE066C7006C49C0A,PLAY_ANIMAL_VOCALIZATION
0xC265DF9FB44A9FBD,IS_ANIMAL_VOCALIZATION_PLAYING
0xCC97B29285B1DC3B,SET_ANIMAL_MOOD
0x399D2D3B33F1B8EB,SET_STATIC_EMITTER_ENABLED
0xCD536C4D33DCC900,PLAY_END_CREDITS_MUSIC
0xBDA07E5950085E46,SET_AMBIENT_ZONE_STATE
0x218DD44AAAC964FF,CLEAR_AMBIENT_ZONE_STATE
0x9748FA4DE50CCE3E,SET_AMBIENT_ZONE_LIST_STATE
0x120C48C614909FA4,CLEAR_AMBIENT_ZONE_LIST_STATE
0x1D6650420CEC9D3B,SET_AMBIENT_ZONE_STATE_PERSISTENT
0xF3638DAE8C4045E1,SET_AMBIENT_ZONE_LIST_STATE_PERSISTENT
0x9D6BFC12B05C6121,IS_HORN_ACTIVE
0xD11FA52EB849D978,IS_STREAM_PLAYING
0x1F1F957154EC51DF,LOAD_STREAM
0x89049DD63C08B5D1,PLAY_STREAM_FROM_PED
0x58FCE43488F9F5F4,PLAY_STREAM_FRONTEND
0x21442F412E8DE56B,PLAY_STREAM_FROM_POSITION
0xA4718A1419D18151,STOP_STREAM
0x9D64D7405520E3D3,STOP_PED_SPEAKING
0xA9A41C1E940FB0E8,DISABLE_PED_PAIN_AUDIO
0x932C2D096A2C3FFF,IS_AMBIENT_SPEECH_DISABLED
0x76D683C108594D0E,SET_HORN_ENABLED
0xE5564483E407F914,SET_AUDIO_VEHICLE_PRIORITY
0x4F0C413926060B38,_FORCE_VEHICLE_ENGINE_AUDIO
0x3BD3F52BA9B1E4E8,SET_GPS_ACTIVE
0x013A80FC08F6E4F2,START_AUDIO_SCENE
0xDFE8422B3B94E688,STOP_AUDIO_SCENE
0xBAC7FC81A75EC1A1,STOP_AUDIO_SCENES
0xB65B60556E2A9225,IS_AUDIO_SCENE_ACTIVE
0xEF21A9EF089A2668,SET_AUDIO_SCENE_VARIABLE
0x153973AB99FE8980,ADD_ENTITY_TO_AUDIO_MIX_GROUP
0x18EB48CFC41F2EA0,REMOVE_ENTITY_FROM_AUDIO_MIX_GROUP
0x845FFC3A4FEEFA3E,AUDIO_IS_SCRIPTED_MUSIC_PLAYING
0x1E5185B72EF5158A,PREPARE_MUSIC_EVENT
0x5B17A90291133DA5,CANCEL_MUSIC_EVENT
0x706D57B0F50DA710,TRIGGER_MUSIC_EVENT
0xE7A0D23DC414507B,GET_MUSIC_PLAYTIME
0xB9EFD5C25018725A,SET_AUDIO_FLAG
0x044DBAD7A7FA2BE5,SET_PORTAL_SETTINGS_OVERRIDE
0xB4BBFD9CD8B3922B,REMOVE_PORTAL_SETTINGS_OVERRIDE
0x16AF9B4EEAC3B305,REGISTER_OBJECT_SCRIPT_BRAIN
0x1CF6E5C6750EADBD,ENABLE_SCRIPT_BRAIN_SET
0x3F44EA613A5B2676,DISABLE_SCRIPT_BRAIN_SET
0x33281167E4942E4F,RENDER_SCRIPT_CAMS
0x8C7C7FF7CF0E5153,_RENDER_FIRST_PERSON_CAM
0xE72CDBA7F0A02DD6,CREATE_CAM
0x40C23491CE83708E,CREATE_CAM_WITH_PARAMS
0x57CDF879EA466C46,CREATE_CAMERA
0x98B99B9F27E2D60B,CREATE_CAMERA_WITH_PARAMS
0x4E67E0B6D7FD5145,DESTROY_CAM
0x163600D6E136C9F8,DESTROY_ALL_CAMS
0x153AD457764FD704,DOES_CAM_EXIST
0x87295BCA613800C8,SET_CAM_ACTIVE
0x63EFCC7E1810B8E6,IS_CAM_ACTIVE
0x4415F8A6C536D39F,IS_CAM_RENDERING
0x03A8931ECC8015D6,GET_RENDERING_CAM
0x6B12F11C2A9F0344,GET_CAM_COORD
0x9BF96B57254E7889,GET_CAM_ROT
0x8101D32A0A6B0F60,GET_CAM_FOV
0xA47BBFFFB83D4D0A,SET_CAM_PARAMS
0xF9EE7D419EE49DE6,SET_CAM_COORD
0x63DFA6810AD78719,SET_CAM_ROT
