NewOpcode(v1355),BaseOpcode
19,0
67,1
16,2
30,3
89,4
71,5
5,6
43,7
11,8
28,9
32,10
126,11
53,12
119,13
113,14
81,15
36,16
12,17
27,18
101,19
125,20
87,21
49,22
22,23
52,24
132,25
96,26
25,27
7,28
18,29
97,30
105,31
48,32
73,33
54,34
69,35
56,36
109,37
111,38
123,39
55,40
134,41
106,42
65,43
3,44
34,45
80,46
118,47
50,48
61,49
45,50
6,51
99,52
23,53
100,54
75,55
102,56
103,57
137,58
84,59
78,60
92,61
20,62
86,63
128,64
39,65
108,66
37,67
59,68
127,69
24,70
120,71
140,72
64,73
2,74
10,75
88,76
1,77
68,78
70,79
58,80
95,81
135,82
112,83
74,84
104,85
139,86
21,87
114,88
46,89
117,90
138,91
35,92
57,93
93,94
133,95
38,96
33,97
60,98
4,99
129,100
31,101
121,102
94,103
41,104
26,105
110,106
85,107
141,108
8,109
47,110
9,111
17,112
29,113
66,114
98,115
77,116
13,117
76,118
115,119
72,120
91,121
44,122
90,123
124,124
122,125
51,126
15,127
0,128
82,129
14,130
79,131
116,132
136,133
83,134
130,135
131,136
63,137
42,138
62,139
107,140
40,141
