NewOpcode(v1207),BaseOpcode
77,0
105,1
79,2
12,3
27,4
124,5
89,6
120,7
138,8
2,9
101,10
133,11
11,12
53,13
115,14
84,15
51,16
70,17
135,18
37,19
50,20
57,21
131,22
130,23
90,24
68,25
88,26
5,27
60,28
55,29
121,30
44,31
36,32
75,33
35,34
104,35
18,36
128,37
85,38
21,39
80,40
103,41
16,42
92,43
95,44
134,45
107,46
10,47
33,48
69,49
137,50
67,51
97,52
28,53
71,54
112,55
136,56
127,57
119,58
48,59
123,60
9,61
106,62
125,63
100,64
110,65
3,66
26,67
54,68
91,69
38,70
6,71
93,72
111,73
64,74
25,75
56,76
76,77
4,78
114,79
39,80
94,81
30,82
126,83
23,84
96,85
66,86
129,87
31,88
1,89
99,90
29,91
118,92
34,93
86,94
7,95
65,96
46,97
102,98
116,99
62,100
78,101
32,102
40,103
72,104
109,105
117,106
47,107
22,108
24,109
13,110
98,111
45,112
0,113
108,114
83,115
73,116
15,117
17,118
14,119
52,120
122,121
81,122
49,123
63,124
41,125
87,126
74,127
43,128
59,129
132,130
113,131
82,132
20,133
19,134
61,135
58,136
8,137
42,138
